WKT,objectid,facilityid,installdate,locdesc,rotation,manufacturer,operable,lastservice,enabled,activeflag,ownedby,maintby,lastupdate,lasteditor,flow,globalid,comments,doc_name,status,source,ResourceID
POINT (-122.384109728263 37.7492844553476),1,,,,,,,,1,,1,,,,,{96D5F3D7-B4B1-495C-B60A-228FA7B83F10},"2/27/09 P80 12""WATER PIPE RELOCATION Invert 60"" below top of rail",,ACT,,96D5F3D7-B4B1-495C-B60A-228FA7B83F10
POINT (-122.38384021087 37.7590572824309),2,,,,,,,,1,,1,,,,,{227A1E95-EF1E-406C-A9FD-3F08C79B7B4A},W&K Surveyed(08/25/2009) C-FIRE-HYDR,x-Pier68&70-utility.dwg,ACT,,227A1E95-EF1E-406C-A9FD-3F08C79B7B4A
POINT (-122.384803909669 37.7587532643327),3,,,,,,,,1,,1,,,,,{86363AD9-1977-4551-9625-40537FF41A99},W&K Surveyed(08/25/2009) C-FIRE-HYDR,x-Pier68&70-utility.dwg,ACT,,86363AD9-1977-4551-9625-40537FF41A99
POINT (-122.384515779358 37.7581389933744),4,,,,,,,,1,,1,,,,,{7F2562DD-648B-483A-85E8-CEED9D815FF9},W&K Surveyed(08/25/2009) C-FIRE-HYDR,x-Pier68&70-utility.dwg,ACT,,7F2562DD-648B-483A-85E8-CEED9D815FF9
POINT (-122.383762644548 37.757781224088),5,,,,,,,,1,,1,,,,,{B27BE6A0-3555-4DE3-BFCD-9944080789C8},W&K Surveyed(08/25/2009) C-FIRE-HYDR,x-Pier68&70-utility.dwg,ACT,,B27BE6A0-3555-4DE3-BFCD-9944080789C8
POINT (-122.383395311813 37.7584783141618),6,,,,,,,,1,,1,,,,,{72EF0B88-381A-44BD-A448-00AF886AFFC6},W&K Surveyed(08/25/2009) C-FIRE-HYDR,x-Pier68&70-utility.dwg,ACT,,72EF0B88-381A-44BD-A448-00AF886AFFC6
POINT (-122.382475415629 37.7582184641273),7,,,,,,,,1,,1,,,,,{978649D9-FE58-41D1-8EBE-3C9F8A580F80},W&K Surveyed(08/25/2009) C-FIRE-HYDR,x-Pier68&70-utility.dwg,ACT,,978649D9-FE58-41D1-8EBE-3C9F8A580F80
POINT (-122.382489915328 37.7585332325068),8,,,,,,,,1,,1,,,,,{D3C377E2-1C45-4630-884A-27FE11648542},W&K Surveyed(08/25/2009) C-FIRE-HYDR,x-Pier68&70-utility.dwg,ACT,,D3C377E2-1C45-4630-884A-27FE11648542
POINT (-122.384723231606 37.7601762530874),9,,,,,,,,1,,1,,,,,{7BA18A48-214E-46AD-A72F-E59516B1813A},W&K Surveyed(08/25/2009) C-FIRE-HYDR,x-Pier68&70-utility.dwg,ACT,,7BA18A48-214E-46AD-A72F-E59516B1813A
POINT (-122.385451620741 37.7598566092196),10,,,,,,,,1,,1,,,,,{F6E9D241-FE7B-41DB-88CB-6388710C1B38},W&K Surveyed(08/25/2009) C-FIRE-HYDR,x-Pier68&70-utility.dwg,ACT,,F6E9D241-FE7B-41DB-88CB-6388710C1B38
POINT (-122.386459097208 37.7606815435989),11,,,,,,,,1,,1,,,,,{0209C7C6-1C85-4C02-AF6C-1D3941ABE74E},W&K Surveyed(08/25/2009) C-FIRE-HYDR,x-Pier68&70-utility.dwg,ACT,,0209C7C6-1C85-4C02-AF6C-1D3941ABE74E
POINT (-122.386459097208 37.7606815435989),12,,,,,,,,1,,1,,,,,{392C99BE-A6B7-4505-85E8-06D0CDEE0FF0},W&K Surveyed(08/25/2009) C-FIRE-HYDR,x-Pier68&70-utility.dwg,ACT,,392C99BE-A6B7-4505-85E8-06D0CDEE0FF0
POINT (-122.385777885596 37.7607232797437),13,,,,,,,,1,,1,,,,,{5422B847-B061-46F7-9366-1ECE6E4EE46F},W&K Surveyed(08/25/2009) C-FIRE-HYDR,x-Pier68&70-utility.dwg,ACT,,5422B847-B061-46F7-9366-1ECE6E4EE46F
POINT (-122.385458823013 37.760742259285),14,,,,,,,,1,,1,,,,,{59BCDA1B-EEC1-4F72-A4CB-5C7FEFD8D499},W&K Surveyed(08/25/2009) C-FIRE-HYDR,x-Pier68&70-utility.dwg,ACT,,59BCDA1B-EEC1-4F72-A4CB-5C7FEFD8D499
POINT (-122.384803470816 37.7607820341305),15,,,,,,,,1,,1,,,,,{518D3826-865D-4C86-9544-EB5DD3A6A903},W&K Surveyed(08/25/2009) C-FIRE-HYDR,x-Pier68&70-utility.dwg,ACT,,518D3826-865D-4C86-9544-EB5DD3A6A903
POINT (-122.384868952865 37.7606510374853),16,,,,,,,,1,,1,,,,,{4D83CCF4-EF09-4E70-B276-ACCFCED153F5},W&K Surveyed(08/25/2009) C-FIRE-HYDR,x-Pier68&70-utility.dwg,ACT,,4D83CCF4-EF09-4E70-B276-ACCFCED153F5
POINT (-122.384369686468 37.760521346025),17,,,,,,,,1,,1,,,,,{72D510AA-6239-4088-A611-4AE9583C3B92},W&K Surveyed(08/25/2009) C-FIRE-HYDR,x-Pier68&70-utility.dwg,ACT,,72D510AA-6239-4088-A611-4AE9583C3B92
POINT (-122.383631703718 37.7607486043145),18,,,,,,,,1,,1,,,,,{429CF0D8-3163-4AF3-866F-223362ADB904},W&K Surveyed(08/25/2009) C-FIRE-HYDR,x-Pier68&70-utility.dwg,ACT,,429CF0D8-3163-4AF3-866F-223362ADB904
POINT (-122.383208571771 37.7606778768694),19,,,,,,,,1,,1,,,,,{3CD1B594-3AF0-4298-B682-900E3D62D093},W&K Surveyed(08/25/2009) C-FIRE-HYDR,x-Pier68&70-utility.dwg,ACT,,3CD1B594-3AF0-4298-B682-900E3D62D093
POINT (-122.38254977547 37.7605973445052),20,,,,,,,,1,,1,,,,,{D66EB5D7-6270-4D94-94C0-B64FA4AF2D1F},W&K Surveyed(08/25/2009) C-FIRE-HYDR,x-Pier68&70-utility.dwg,ACT,,D66EB5D7-6270-4D94-94C0-B64FA4AF2D1F
POINT (-122.382230722395 37.7606167017731),21,,,,,,,,1,,1,,,,,{F5E82286-F892-472F-8330-8A53EE2B01CB},W&K Surveyed(08/25/2009) C-FIRE-HYDR,x-Pier68&70-utility.dwg,ACT,,F5E82286-F892-472F-8330-8A53EE2B01CB
POINT (-122.382529528862 37.7601165610585),22,,,,,,,,1,,1,,,,,{8235F2B8-CA6D-4125-9A1B-F3D41D0F9775},W&K Surveyed(08/25/2009) C-FIRE-HYDR,x-Pier68&70-utility.dwg,ACT,,8235F2B8-CA6D-4125-9A1B-F3D41D0F9775
POINT (-122.383110054458 37.7601949563853),23,,,,,,,,1,,1,,,,,{B7E75131-C057-47A4-868D-29F5B24DC35D},W&K Surveyed(08/25/2009) C-FIRE-HYDR,x-Pier68&70-utility.dwg,ACT,,B7E75131-C057-47A4-868D-29F5B24DC35D
POINT (-122.382559043742 37.7594747318549),24,,,,,,,,1,,1,,,,,{B7782E2A-56B9-4087-A933-842D654B6A09},W&K Surveyed(08/25/2009) C-FIRE-HYDR,x-Pier68&70-utility.dwg,ACT,,B7782E2A-56B9-4087-A933-842D654B6A09
POINT (-122.38168691527 37.7592016623233),25,,,,,,,,1,,1,,,,,{E86D4B62-E5D7-47BE-A78C-30765BBE7587},W&K Surveyed(08/25/2009) C-FIRE-HYDR,x-Pier68&70-utility.dwg,ACT,,E86D4B62-E5D7-47BE-A78C-30765BBE7587
POINT (-122.382551841044 37.759176748316),26,,,,,,,,1,,1,,,,,{C9E43CB2-A436-4835-90AE-E7E525D1BCE2},W&K Surveyed(08/25/2009) C-FIRE-HYDR,x-Pier68&70-utility.dwg,ACT,,C9E43CB2-A436-4835-90AE-E7E525D1BCE2
POINT (-122.383409438179 37.7594528626985),27,,,,,,,,1,,1,,,,,{5EEEEC79-2F18-444E-88F3-932D2A017A76},W&K Surveyed(08/25/2009) C-FIRE-HYDR,x-Pier68&70-utility.dwg,ACT,,5EEEEC79-2F18-444E-88F3-932D2A017A76
POINT (-122.383454611115 37.75909444589),28,,,,,,,,1,,1,,,,,{579AB95C-8928-4485-B567-B39A696AB833},W&K Surveyed(08/25/2009) C-FIRE-HYDR,x-Pier68&70-utility.dwg,ACT,,579AB95C-8928-4485-B567-B39A696AB833
POINT (-122.401652266348 37.8041132749981),29,,1967-07-01T00:00:00.000,,,,,,1,,1,,,,,{FEC5F7FB-F040-499E-BABC-5F181F216785}, Wall Hydrant,7428-27-1,ACT,,FEC5F7FB-F040-499E-BABC-5F181F216785
