WKT,objectid,facilityid,installdate,material,diameter,watertype,transmiss,enabled,activeflag,ownedby,maintby,lastupdate,lasteditor,globalid,comments,doc_name,status,shape_Length,ResourceID
"MULTILINESTRING M ((-122.415911950611 37.8089280165316 0,-122.415911077503 37.8089504357224 0,-122.415907621838 37.8089772758501 0))",1,,,UNK,0,WM,,1,,0,,2011-02-03T00:00:00.000,JS,{3526B121-87A2-4D9E-A9C2-4042C80303CF},Z - []Water Meter Line; ; ,1498J_TaylorSt_Improvements_UT-REF,ACT,17.99122559,3526B121-87A2-4D9E-A9C2-4042C80303CF
"MULTILINESTRING M ((-122.415913325256 37.8089280681002 0,-122.415910575942 37.8089279640622 0))",2,,,UNK,0,WM,,1,,0,,2011-02-03T00:00:00.000,JS,{6FC1AFD9-08F9-4812-86B8-113AD9DBDCAD},Z - []Water Meter Line; ; ,1498J_TaylorSt_Improvements_UT-REF,ACT,0.795150352,6FC1AFD9-08F9-4812-86B8-113AD9DBDCAD
"MULTILINESTRING M ((-122.416661618786 37.8084967078873 0,-122.416661992137 37.8084788749602 0,-122.416662120413 37.8084727121954 0))",3,,,UNK,0,HB,,1,,1,,2011-02-03T00:00:00.000,JS,{9EAA0ED1-84ED-4F23-8382-97EF56A55E7F},UTIL_WATER; ; ,FISHERMAN'S WHARF HOSE BIBBS,ERR,8.738595877,9EAA0ED1-84ED-4F23-8382-97EF56A55E7F
"MULTILINESTRING M ((-122.416667783431 37.8084789809135 0,-122.416661992137 37.8084788749602 0,-122.416655975819 37.8084787645526 0))",4,,,UNK,0,HB,,1,,1,,2011-02-03T00:00:00.000,JS,{6B89E099-C6F4-409C-A228-A169A970D13E},UTIL_WATER; ; ,FISHERMAN'S WHARF HOSE BIBBS,ERR,3.412024224,6B89E099-C6F4-409C-A228-A169A970D13E
"MULTILINESTRING M ((-122.416571123993 37.808493991473 0,-122.416571622581 37.8084768288149 0,-122.416571802005 37.8084706670216 0))",5,,,UNK,0,HB,,1,,1,,2011-02-03T00:00:00.000,JS,{20A5A12E-4812-4A91-A7E6-B2920DDDC167},UTIL_WATER; ; ,FISHERMAN'S WHARF HOSE BIBBS,ERR,8.495238127,20A5A12E-4812-4A91-A7E6-B2920DDDC167
"MULTILINESTRING M ((-122.41657746615 37.8084769357256 0,-122.416571622581 37.8084768288149 0,-122.416565657404 37.8084767193741 0))",6,,,UNK,0,HB,,1,,1,,2011-02-03T00:00:00.000,JS,{8183578F-2C61-4AB8-AE29-DBE0E7BE4D14},UTIL_WATER; ; ,FISHERMAN'S WHARF HOSE BIBBS,ERR,3.412351992,8183578F-2C61-4AB8-AE29-DBE0E7BE4D14
"MULTILINESTRING M ((-122.416479895974 37.808491252658 0,-122.416480434564 37.8084726906708 0,-122.416480613996 37.8084665288777 0))",7,,,UNK,0,HB,,1,,1,,2011-02-03T00:00:00.000,JS,{D7C02DD2-05AE-4AD9-B556-9BCCC32B10B7},UTIL_WATER; ; ,FISHERMAN'S WHARF HOSE BIBBS,ERR,9.004897689,D7C02DD2-05AE-4AD9-B556-9BCCC32B10B7
"MULTILINESTRING M ((-122.416196883789 37.8085045063982 0,-122.416195835099 37.8085339380673 0))",8,,,UNK,0,HB,,1,,1,,2011-02-03T00:00:00.000,JS,{CE58FEFE-2F9F-40B0-AE53-AB22562FCDA7},UTIL_WATER; ; ,FISHERMAN'S WHARF HOSE BIBBS,ERR,10.72104241,CE58FEFE-2F9F-40B0-AE53-AB22562FCDA7
"MULTILINESTRING M ((-122.416195835099 37.8085339380673 0,-122.416221371143 37.8085347226866 0,-122.416230579227 37.8085351363354 0))",9,,,UNK,0,HB,,1,,1,,2011-02-03T00:00:00.000,JS,{C64EF761-E2FA-4E8C-AEF9-BEF9B5828B31},UTIL_WATER; ; ,FISHERMAN'S WHARF HOSE BIBBS,ERR,10.04705474,C64EF761-E2FA-4E8C-AEF9-BEF9B5828B31
"MULTILINESTRING M ((-122.416221145949 37.8085390683808 0,-122.416221371143 37.8085347226866 0,-122.416221635731 37.808529614829 0))",10,,,UNK,0,HB,,1,,1,,2011-02-03T00:00:00.000,JS,{BB823C20-E537-46E2-8F48-42C47A018343},UTIL_WATER; ; ,FISHERMAN'S WHARF HOSE BIBBS,ERR,3.445166791,BB823C20-E537-46E2-8F48-42C47A018343
"MULTILINESTRING M ((-122.417168169554 37.8084953690142 0,-122.417162118013 37.8084952583038 0,-122.417156361939 37.8084951527034 0))",11,,,UNK,0,HB,,1,,1,,2011-02-03T00:00:00.000,JS,{4F0E902F-CCF4-4581-AEBE-FD4DA2F0790A},UTIL_WATER; ; ,FISHERMAN'S WHARF HOSE BIBBS,ERR,3.412024209,4F0E902F-CCF4-4581-AEBE-FD4DA2F0790A
"MULTILINESTRING M ((-122.41712558235 37.8085106347707 0,-122.417126120431 37.8084957542346 0,-122.41712634868 37.8084895934486 0))",12,,,UNK,0,HB,,1,,1,,2011-02-03T00:00:00.000,JS,{DDFBB613-DEEF-4C8C-A952-AAC201AF7743},UTIL_WATER; ; ,FISHERMAN'S WHARF HOSE BIBBS,ERR,7.664837142,DDFBB613-DEEF-4C8C-A952-AAC201AF7743
"MULTILINESTRING M ((-122.417132011715 37.8084958612435 0,-122.417126120431 37.8084957542346 0,-122.417120204122 37.8084956458299 0))",13,,,UNK,0,HB,,1,,1,,2011-02-03T00:00:00.000,JS,{961323CC-A4E9-4019-96F3-EA34C8F796D4},UTIL_WATER; ; ,FISHERMAN'S WHARF HOSE BIBBS,ERR,3.412009965,961323CC-A4E9-4019-96F3-EA34C8F796D4
"MULTILINESTRING M ((-122.417037638467 37.8085079953071 0,-122.417038156814 37.8084920859091 0,-122.417038377122 37.8084859252524 0))",14,,,UNK,0,HB,,1,,1,,2011-02-03T00:00:00.000,JS,{51A955D9-30B1-4132-A886-F6E3F45E5611},UTIL_WATER; ; ,FISHERMAN'S WHARF HOSE BIBBS,ERR,8.039062328,51A955D9-30B1-4132-A886-F6E3F45E5611
"MULTILINESTRING M ((-122.417044041284 37.8084921930331 0,-122.417038156814 37.8084920859091 0,-122.417032233693 37.8084919776106 0))",15,,,UNK,0,HB,,1,,1,,2011-02-03T00:00:00.000,JS,{177A2CDA-4DBD-477C-8D3E-6F928BBB9A4B},UTIL_WATER; ; ,FISHERMAN'S WHARF HOSE BIBBS,ERR,3.412009952,177A2CDA-4DBD-477C-8D3E-6F928BBB9A4B
"MULTILINESTRING M ((-122.41695122696 37.8085054011658 0,-122.416949271591 37.8084908216087 0,-122.416949477145 37.8084846611921 0))",16,,,UNK,0,HB,,1,,1,,2011-02-03T00:00:00.000,JS,{2AAC4C30-137B-490E-9DE3-440D4494F596},UTIL_WATER; ; ,FISHERMAN'S WHARF HOSE BIBBS,ERR,7.582666173,2AAC4C30-137B-490E-9DE3-440D4494F596
"MULTILINESTRING M ((-122.416955140188 37.8084909298964 0,-122.416949271591 37.8084908216087 0,-122.416943332574 37.8084907135642 0))",17,,,UNK,0,HB,,1,,1,,2011-02-03T00:00:00.000,JS,{D4F03F76-806B-4673-90C6-8E7DF7B60F12},UTIL_WATER; ; ,FISHERMAN'S WHARF HOSE BIBBS,ERR,3.412024268,D4F03F76-806B-4673-90C6-8E7DF7B60F12
"MULTILINESTRING M ((-122.416759292384 37.8084996401094 0,-122.416759767234 37.808483319567 0,-122.416759946643 37.8084771577734 0))",18,,,UNK,0,HB,,1,,1,,2011-02-03T00:00:00.000,JS,{4A5EAFDE-521E-4AC7-A864-3F72582B49BF},UTIL_WATER; ; ,FISHERMAN'S WHARF HOSE BIBBS,ERR,8.188527493,4A5EAFDE-521E-4AC7-A864-3F72582B49BF
"MULTILINESTRING M ((-122.416765609669 37.8084834264868 0,-122.416759767234 37.808483319567 0,-122.416753802057 37.8084832101356 0))",19,,,UNK,0,HB,,1,,1,,2011-02-03T00:00:00.000,JS,{3D8FEEB9-FF40-4075-95F7-46870248CB29},UTIL_WATER; ; ,FISHERMAN'S WHARF HOSE BIBBS,ERR,3.412024224,3D8FEEB9-FF40-4075-95F7-46870248CB29
"MULTILINESTRING M ((-122.416467207929 37.8085274216667 0,-122.41647370039 37.8085275396675 0,-122.416480194009 37.8085276585503 0))",20,,,UNK,0,HB,,1,,1,,2011-02-03T00:00:00.000,JS,{A13A5B12-60EF-4410-8D4F-C7BC96C3A0E3},UTIL_WATER; ; ,FISHERMAN'S WHARF HOSE BIBBS,ERR,3.752552558,A13A5B12-60EF-4410-8D4F-C7BC96C3A0E3
"MULTILINESTRING M ((-122.416383164151 37.8085293352452 0,-122.416383291778 37.8085249505814 0,-122.416384355015 37.8084883846852 0))",21,,,UNK,0,HB,,1,,1,,2011-02-03T00:00:00.000,JS,{439317CB-54D6-4608-A64A-87E53AD92968},UTIL_WATER; ; ,FISHERMAN'S WHARF HOSE BIBBS,ERR,14.9150276,439317CB-54D6-4608-A64A-87E53AD92968
"MULTILINESTRING M ((-122.416376798159 37.8085248316933 0,-122.416383291778 37.8085249505814 0,-122.416389785397 37.8085250694692 0))",22,,,UNK,0,HB,,1,,1,,2011-02-03T00:00:00.000,JS,{72F39702-A6C0-46D1-8C34-5B039F2ADBA3},UTIL_WATER; ; ,FISHERMAN'S WHARF HOSE BIBBS,ERR,3.752894583,72F39702-A6C0-46D1-8C34-5B039F2ADBA3
"MULTILINESTRING M ((-122.416334809989 37.8085255544962 0,-122.416334937642 37.8085211707333 0,-122.416334003472 37.8084868731976 0))",23,,,UNK,0,HB,,1,,1,,2011-02-03T00:00:00.000,JS,{7AE86763-242A-45A0-A4A2-D614101E8BA2},UTIL_WATER; ; ,FISHERMAN'S WHARF HOSE BIBBS,ERR,14.08810964,7AE86763-242A-45A0-A4A2-D614101E8BA2
"MULTILINESTRING M ((-122.416328444023 37.8085210518425 0,-122.416334937642 37.8085211707333 0,-122.416341430124 37.8085212896422 0))",24,,,UNK,0,HB,,1,,1,,2011-02-03T00:00:00.000,JS,{A03B64C2-A331-476B-9154-EB06CB3AC4AD},UTIL_WATER; ; ,FISHERMAN'S WHARF HOSE BIBBS,ERR,3.752566815,A03B64C2-A331-476B-9154-EB06CB3AC4AD
"MULTILINESTRING M ((-122.417161079558 37.8085116997611 0,-122.417162118013 37.8084952583038 0,-122.417162506493 37.8084891003202 0))",25,,,UNK,0,HB,,1,,1,,2011-02-03T00:00:00.000,JS,{AF169CA1-859A-4ED8-AC33-0C40B8998203},UTIL_WATER; ; ,FISHERMAN'S WHARF HOSE BIBBS,ERR,8.239305252,AF169CA1-859A-4ED8-AC33-0C40B8998203
