WKT,objectid,facilityid,accountid,metservice,servicetype,installdate,locdesc,rotation,locationid,critical,enabled,activeflag,ownedby,maintby,lastupdate,lasteditor,globalid,comments,doc_name,status,ResourceID
POINT (-122.415190204125 37.8092175596782),1,,,,,,,,,,1,,1,,2011-03-02T00:00:00.000,JS,{9B43E0BD-4ED1-47C7-BFC3-231F49AF91B9}, STATUS PER PORT PLUMBER DAVE RAUENBUHLER,,ACT,9B43E0BD-4ED1-47C7-BFC3-231F49AF91B9
POINT (-122.399382303399 37.8024489803911),2,,,,SWSC,,,,,,1,,1,,,,{5EB43FF3-8604-4342-8E13-8F5B0AA772FD}, ,P19-Water&Power.pdf,UNK,5EB43FF3-8604-4342-8E13-8F5B0AA772FD
POINT (-122.39885755336 37.8027398281944),3,,,,SWSC,,,,,,1,,1,,,,{CBFC6103-C820-46A7-8AEB-FE5316CBB2D8}, ,P19-Water&Power.pdf,UNK,CBFC6103-C820-46A7-8AEB-FE5316CBB2D8
POINT (-122.399143710637 37.8030665073392),4,,,,SWSC,,,,,,1,,1,,,,{8D3D73E2-E6EF-4CB8-9A6F-C1DF26343401}, ,P19-Water&Power.pdf,UNK,8D3D73E2-E6EF-4CB8-9A6F-C1DF26343401
POINT (-122.398068295207 37.8036534232146),5,,,,SWSC,,,,,,1,,1,,,,{1CB9AB11-4D59-4C3D-86A1-8A29FD57D6EC}, ,P19-Water&Power.pdf,UNK,1CB9AB11-4D59-4C3D-86A1-8A29FD57D6EC
POINT (-122.398603990444 37.8033709283509),6,,,,SWSC,,,,,,1,,1,,,,{91C55964-8624-4B1F-93D4-321FCB6979F2}, ,P19-Water&Power.pdf,UNK,91C55964-8624-4B1F-93D4-321FCB6979F2
POINT (-122.417162118013 37.8084952583038),7,,,,HOSEBIB,,,,,,1,,1,,,,{37C2AF02-F46E-406E-ACBB-1B85DB54B1EE},".75"" DIA PIPE FISHERMAN'S WHARF HOSE BIBBS",,ACT,37C2AF02-F46E-406E-ACBB-1B85DB54B1EE
POINT (-122.417159297147 37.8085501365598),8,,,,HOSEBIB,,,,,,1,,1,,,,{EB0E42FF-22F2-44DD-83ED-C1CBCF889489},".75"" DIA PIPE FISHERMAN'S WHARF HOSE BIBBS",,ACT,EB0E42FF-22F2-44DD-83ED-C1CBCF889489
POINT (-122.417096832926 37.8085435042446),9,,,,HOSEBIB,,,,,,1,,1,,,,{67315280-6B4E-47A1-80EF-BD5D934C6EB2},".75"" DIA PIPE FISHERMAN'S WHARF HOSE BIBBS",,ACT,67315280-6B4E-47A1-80EF-BD5D934C6EB2
POINT (-122.417126120431 37.8084957542346),10,,,,HOSEBIB,,,,,,1,,1,,,,{72AE71FD-795D-4E03-8D75-0F063108DCF5},".75"" DIA PIPE FISHERMAN'S WHARF HOSE BIBBS",,ACT,72AE71FD-795D-4E03-8D75-0F063108DCF5
POINT (-122.400616237678 37.8059286617103),11,,,,SWSC,1967-07-01T00:00:00.000,,,,,1,,1,,2010-11-17T00:00:00.000,JS,{47610455-3105-474B-B193-621467BD0864}, Ship Water Service Connection,7428-27-1,ACT,47610455-3105-474B-B193-621467BD0864
