OBJECTID,FACILITYID,ACCESSMAT,ACCESSTYPE,INTDEPTH,INSTALLDATE,DEVICETYPE,ROTATION,ENABLED,ACTIVEFLAG,OWNEDBY,MAINTBY,LASTUPDATE,LASTEDITOR,ACCESSDIAM,geometry,ResourceID
1,CO-2,Cast Iron,Grate,,19980101,Unknown,271.3644,True,True,Private,Private,20150518123513,Esri,,POINT (-88.14267276948651 41.77564078379368),6c09e2d1-d4c0-465b-b4e1-9346c437fc0c
2,CO-3,Cast Iron,Grate,,19760101,Unknown,130.6031,True,True,Private,Private,20150518123513,Esri,,POINT (-88.14969094381212 41.777950998358456),f2b33326-7992-4e48-b478-28686e2f5290
3,CO-4,Cast Iron,Grate,,19760101,Unknown,179.8539,True,True,Private,Private,20150518123513,Esri,,POINT (-88.14997905592504 41.77811134505905),f2ba53a6-632b-4ea1-89a2-ec8bcb526eaf
4,CO-5,Cast Iron,Grate,,000000,Unknown,232.9379,True,True,Private,Private,20150518123513,Esri,,POINT (-88.16283439328771 41.768698855408914),8b4cc99f-01a7-416a-9ac4-2968a54ff356
5,CO-6,Cast Iron,Grate,,19870101,Unknown,332.4132,True,True,Private,Private,20150518123513,Esri,,POINT (-88.16391760282849 41.78342240346186),e524ab6b-547a-4c88-96b3-b98244e54df5
6,CO-7,Cast Iron,Grate,,19870101,Unknown,329.6314,True,True,Private,Private,20150518123513,Esri,,POINT (-88.16285077192718 41.78381230928953),9452e68c-a5af-41b7-bc25-6bd931338793
7,CO-8,Cast Iron,Grate,,19870101,Unknown,320.1655,True,True,Private,Private,20150518123513,Esri,,POINT (-88.1623979050923 41.78403410426154),fd56ac2f-f49a-47f3-b5f5-63920f3fbe36
8,CO-9,Cast Iron,Grate,,19870101,Unknown,305.027,True,True,Private,Private,20150518123513,Esri,,POINT (-88.16197356176316 41.784298994420844),1040a209-5f4c-4468-a0cd-baf4ee1f5e4a
9,CO-10,Cast Iron,Grate,,19870101,Unknown,303.4721,True,True,Private,Private,20150518123513,Esri,,POINT (-88.16171263372372 41.78460082780426),040d0e60-7528-4203-a4b4-a8b5ea19f17c
10,CO-11,Cast Iron,Grate,,19870101,Unknown,310.2458,True,True,Private,Private,20150518123513,Esri,,POINT (-88.16216999282551 41.78413566886461),f3b397b7-b408-4d9a-ad58-9eb03e4a38b7
11,CO-12,Cast Iron,Grate,,19880101,Unknown,161.7025,True,True,Private,Private,20150518123513,Esri,,POINT (-88.17608520950878 41.78109765631633),4aa1e3a5-f370-4f2d-84c6-2aecfc70a667
12,CO-13,Cast Iron,Grate,,000000,Unknown,181.9384,True,True,Private,Private,20150518123513,Esri,,POINT (-88.15425225598204 41.776064147974076),00e09f2d-fa29-46ac-8f5c-14974cc01d6c
13,CO-14,Cast Iron,Grate,,000000,Unknown,2.5248,True,True,Private,Private,20150518123513,Esri,,POINT (-88.15424434618542 41.77634176640013),e6dbda46-c70b-48e4-90d4-013b5e619e00
14,CO-15,Cast Iron,Grate,,000000,Unknown,1.3392,True,True,Private,Private,20150518123513,Esri,,POINT (-88.15432051356444 41.77734950634333),651805ac-563b-462b-bd03-e2614a30eeb9
15,CO-16,Cast Iron,Grate,,000000,Unknown,90,True,True,Private,Private,20150518123513,Esri,,POINT (-88.15430623130898 41.77776939202128),e6e2cf6f-f4fc-488c-8e89-3e97480d4db7
16,CO-17,Cast Iron,Grate,,19940101,Unknown,0,True,True,Private,Private,20150518123513,Esri,,POINT (-88.17433795523594 41.76821180607108),6d680c4a-809a-460c-b3d3-894e3d7dfa77
17,CO-18,Cast Iron,Grate,,20060101,Unknown,2.4823,True,True,Private,Private,20150518123513,Esri,,POINT (-88.15228664195914 41.773312959367345),99eba9b0-0b1e-4849-b846-62a49ad932c6
18,CO-19,Cast Iron,Grate,,000000,Unknown,97.9251,True,True,Private,Private,20150518123513,Esri,,POINT (-88.15839275266632 41.77668826137353),c7a8f02a-9440-4cab-b1da-cfec6197b48a
19,CO-20,Cast Iron,Grate,,000000,Unknown,185.5549,True,True,Private,Private,20150518123513,Esri,,POINT (-88.14129781296997 41.779498603060865),0966bc3c-610c-43a7-baa1-bf4a51c8a66b
20,CO-21,Cast Iron,Grate,,000000,Unknown,2.5388,True,True,Private,Private,20150518123513,Esri,,POINT (-88.13876317321167 41.778331905637486),d96977ac-1362-4d4a-9d5f-d94b7ea41367
21,CO-22,Cast Iron,Grate,,000000,Unknown,92.0947,True,True,Private,Private,20150518123514,Esri,,POINT (-88.13876506954877 41.77830144955857),2ca35eab-fa77-46d5-a057-9b192879fc08
22,CO-23,Cast Iron,Grate,,000000,Unknown,80.3053,True,True,Private,Private,20150518123514,Esri,,POINT (-88.14947337477632 41.7722719366241),086e37ed-091b-4312-8da6-f1c5cc166b09
23,CO-24,Cast Iron,Grate,,000000,Unknown,92.7789,True,True,Private,Private,20150518123514,Esri,,POINT (-88.14947829135541 41.77216039925644),9213d5b7-3867-403e-a0e5-5053fd815a22
24,CO-25,Cast Iron,Grate,,000000,Unknown,270,True,True,Private,Private,20150518123514,Esri,,POINT (-88.13624015571699 41.77407208866267),fa5b2d10-6fd3-4aff-9a3b-49f933f243e1
25,CO-26,Cast Iron,Grate,,000000,Unknown,75.2728,True,True,Private,Private,20150518123514,Esri,,POINT (-88.14562297517253 41.779484713249396),2946885a-d784-461a-bfb8-9ea652cb1b48
