OBJECTID,FACILITYID,INSTALLDATE,MATERIAL,DIAMETER,MAINSHAPE,LINEDYEAR,LINERTYPE,FROMMH,TOMH,WATERTYPE,ENABLED,ACTIVEFLAG,OWNEDBY,MAINTBY,SUMFLOW,LASTUPDATE,LASTEDITOR,DOWNELEV,UPELEV,SLOPE,SHAPE_Length,geometry,ResourceID
1,283-2054,19580101,Unknown,8",Circular,,,MH-283,MH-2054,Sewage,True,True,Our Agency,Our Agency,,20150518121832,Esri,,,,63.018055172872195,"LINESTRING M (-88.16447497996208 41.76909906941592 0,-88.16439234337925 41.76926056703303 63.01806000000001)",dc00aff1-7b06-494b-8e26-edc7170882ed
2,284-871,19580101,Unknown,8",Circular,,,MH-284,MH-871,Sewage,True,True,Our Agency,Our Agency,,20150518121832,Esri,677.762,,,62.29519173005687,"LINESTRING M (-88.16201250852053 41.76901457116758 0,-88.16199729295441 41.76918514871557 62.29519000000001)",3d45d138-1ae3-4cdb-8164-7e78d8118c21
3,1160-286,19660101,Unknown,8",Circular,,,MH-1160,MH-286,Sewage,True,True,Our Agency,Our Agency,,20150518121832,Esri,686.276,,,131.51684950474944,"LINESTRING M (-88.17426516752427 41.76880579318398 0,-88.17430887147067 41.76880241789038 11.985490000000002,-88.17443893193246 41.768792377791115 47.65346000000001,-88.17474504581833 41.76877116405946 131.51685)",6f75c3b7-f4bc-48dd-85c8-b8e5ff2fadbb
4,287-1159,19680101,Vitrified Clay,12",Circular,,,MH-287,MH-1159,Sewage,True,True,Our Agency,Our Agency,,20150518121832,Esri,674.457,675.064,0.474191833066955,128.00726576711523,"LINESTRING M (-88.1773982828493 41.768748771560446 0,-88.17739091321351 41.76876451704542 6.0795200000000005,-88.17733563180235 41.76888335590691 51.933960000000006,-88.17731455333674 41.76892866876602 69.41808,-88.17720296459085 41.76902368755945 115.52073000000001,-88.17717121772198 41.76904837293758 128.00727)",792a0f5b-126b-435f-a5ea-f95aa2f56c7b
5,288-284,19580101,Unknown,8",Circular,,,MH-288,MH-284,Sewage,True,True,Our Agency,Our Agency,,20150518121832,Esri,,686.0010000000001,,107.49548772666452,"LINESTRING M (-88.16202625111958 41.76871997785167 0,-88.16200910510297 41.76895032145551 84.06513000000001,-88.16201044942805 41.768975736259485 93.33329000000002,-88.16201250852053 41.76901457116758 107.49549000000002)",4ea7ed9d-fabe-4a02-a288-16043ca641f8
6,1752-290,19580101,Unknown,8",Circular,,,MH-1752,MH-290,Sewage,True,True,Our Agency,Our Agency,,20150518121832,Esri,689.134,,,266.7993829529578,"LINESTRING M (-88.16231851199781 41.76844318006689 0,-88.16225983340007 41.768446495190155 16.052840000000003,-88.16219650578407 41.76845007256782 33.37751000000001,-88.16214317624264 41.76845308677373 47.96703000000001,-88.16205269548968 41.768458195648265 72.71997,-88.16204644066308 41.76845855187171 74.4312,-88.16195838363512 41.768463524728695 98.52110000000002,-88.16194968702739 41.76846401686129 100.90027000000002,-88.1618631768438 41.76846890461729 124.56706000000001,-88.16185287924846 41.76846948438964 127.38414000000002,-88.16176570507884 41.768474408896566 151.23256000000003,-88.16167273555536 41.76847966321595 176.66649000000004,-88.1616259386581 41.768482304286785 189.46874000000003,-88.16134260514914 41.76847562926339 266.79938000000004)",8d8b0093-9001-4f98-b7d9-4aa5ef9e9742
7,2485-2062,19840101,Unknown,8",Circular,,,MH-2485,MH-2062,Sewage,True,True,Our Agency,Our Agency,,20150518121832,Esri,,,,170.87170653930662,"LINESTRING M (-88.15405469821148 41.767994458286935 0,-88.15342999471243 41.76796031956426 170.87171000000004)",5234fed3-5c18-456f-af2f-6fb2a3729577
8,582-292,19220101,Vitrified Clay,10",Circular,,,MH-582,MH-292,Sewage,True,True,Our Agency,Our Agency,,20150518121832,Esri,664.885,673.829,1.94236941414589,460.46853574107024,"LINESTRING M (-88.15149926422076 41.767952188590115 0,-88.15103865286277 41.76793518819338 125.80685000000001,-88.15103577880058 41.76793508459309 126.59180000000002,-88.1510248489687 41.76793468279474 129.57704,-88.15028170762332 41.76790725196361 332.55147000000005,-88.15027892256 41.76790714848618 333.31217000000004,-88.15027278964287 41.76790692262714 334.98724000000004,-88.15024388556554 41.767905858257684 342.88178000000005,-88.14981337064815 41.76788996513669 460.4685400000001)",ef260d05-b9ab-4a2a-a62e-b745988d6d6c
9,292-1465,19220101,Vitrified Clay,10",Circular,,,MH-292,MH-1465,Sewage,True,True,Our Agency,Our Agency,,20150518121833,Esri,663.653,664.885,0.371092716988808,331.99250311267315,"LINESTRING M (-88.14981337064815 41.76788996513669 0,-88.14945963875853 41.76788027977786 96.56226000000001,-88.14945599137012 41.76788018390407 97.55787000000001,-88.14937140181195 41.76787786691023 120.64927000000002,-88.14897962138035 41.767866146446075 227.61194000000003,-88.14896915214457 41.767866180967886 230.46796000000003,-88.14895141034877 41.76786624613508 235.30797000000004,-88.14889679829014 41.76786644389609 250.20627000000005,-88.14859823689287 41.76784603195279 331.99250000000006)",4d274d04-c666-45ef-814e-cd046ca153a4
10,879-291,19680101,Vitrified Clay,12",Circular,,,MH-879,MH-291,Sewage,True,True,Our Agency,Our Agency,,20150518121833,Esri,675.336,676.02,0.417576233340255,163.80242585372963,"LINESTRING M (-88.1775462862603 41.76776304554854 0,-88.17749779642159 41.76778290126959 15.077410000000002,-88.17741965339744 41.767824300287515 41.192510000000006,-88.17725348174194 41.767912329361 96.72509000000001,-88.17705266612688 41.76801855517307 163.80243000000002)",f15bddee-ca84-4b41-a5aa-0906707423ba
