OBJECTID,FACILITYID,INSTALLDATE,MATERIAL,LINETYPE,LOCDESC,DIAMETER,DISTANCE,WATERTYPE,ENABLED,ACTIVEFLAG,OWNEDBY,MAINTBY,LASTUPDATE,LASTEDITOR,SHAPE_Length,geometry
1,58970,000000,Vitrified Clay,,223 Oxford Ct ,6",,Sewage,True,True,Private,Private,20100421101513,Esri,141.38100013747936,"LINESTRING (-88.12205463603443 41.771495852993255,-88.12182517068601 41.771147958603656)"
2,58973,000000,Vitrified Clay,,231 Oxford Ct ,6",,Sewage,True,True,Private,Private,20100421101513,Esri,154.5180064904393,"LINESTRING (-88.1223515714482 41.77101706540701,-88.12181022637951 41.771141894148506)"
3,58975,000000,Vitrified Clay,,208 Olesen Dr ,6",,Sewage,True,True,Private,Private,20100421101513,Esri,133.91266903454604,"LINESTRING (-88.11963683017815 41.77255270363362,-88.1198360460202 41.77256384325455,-88.12012638551705 41.772580076658244)"
4,58989,000000,Vitrified Clay,,219 Pembroke Rd ,6",,Sewage,True,True,Private,Private,20100421101513,Esri,114.25511560598343,"LINESTRING (-88.12322373904894 41.77211290699882,-88.12282081229743 41.77202726869384)"
5,58990,000000,Vitrified Clay,,209 Durham Ct ,6",,Sewage,True,True,Private,Private,20100421101513,Esri,119.88314146169445,"LINESTRING (-88.12165420307292 41.77259112653632,-88.12122324559931 41.77252662285713)"
6,58992,000000,Vitrified Clay,,1112 Greensfield Dr ,6",,Sewage,True,True,Private,Private,20100421101513,Esri,111.31583627043838,"LINESTRING (-88.12862529282262 41.783324652805824,-88.12879370541611 41.7834427246734,-88.12892363752474 41.783533117318875)"
7,58993,000000,Vitrified Clay,,650 Springhill Cr ,6",,Sewage,True,True,Private,Private,20100421101513,Esri,114.05733535069169,"LINESTRING (-88.12246874451152 41.78409174345054,-88.12267248182125 41.78404903487743,-88.12287145188014 41.78400732381453)"
8,58998,000000,Vitrified Clay,,237 James Ln ,6",,Sewage,True,True,Private,Private,20100421101513,Esri,99.90473363497853,"LINESTRING (-88.12794962343646 41.771240088439285,-88.12778465686432 41.77119531632437,-88.12760356245131 41.77115042145649)"
9,59000,000000,Vitrified Clay,,1209 Jane Av ,6",,Sewage,True,True,Private,Private,20100421101513,Esri,100.77064900146631,"LINESTRING (-88.12347655782285 41.77315316534691,-88.12350550461476 41.77287747002583)"
10,59001,000000,Vitrified Clay,,514 Springhill Cr ,6",,Sewage,True,True,Private,Private,20100421101513,Esri,100.1821184066261,"LINESTRING (-88.12461095092186 41.78238281392645,-88.12471484122358 41.78255595686871,-88.12476143776212 41.78263361220657)"
11,59003,000000,Vitrified Clay,,1256 Brookline Ct ,6",,Sewage,True,True,Private,Private,20100421101513,Esri,104.27264579711581,"LINESTRING (-88.12202474612793 41.78342454969434,-88.12213020042225 41.783554244527934,-88.12218419876031 41.78364802378671,-88.12220716155812 41.783675270436134)"
12,59012,000000,Vitrified Clay,,1134 Andover Ct ,6",,Sewage,True,True,Private,Private,20100421101513,Esri,94.9964029894347,"LINESTRING (-88.12539898417627 41.78350859215811,-88.1255248531347 41.783605614260026,-88.1256416267021 41.78369562756613)"
13,59023,000000,Vitrified Clay,,1205 Elizabeth Av ,6",,Sewage,True,True,Private,Private,20100421101513,Esri,72.5987631751054,"LINESTRING (-88.12414443977345 41.770975097736525,-88.12440895021862 41.77099709774548)"
14,59038,000000,Vitrified Clay,,1133 Andover Ct ,6",,Sewage,True,True,Private,Private,20100421101513,Esri,66.99285918702957,"LINESTRING (-88.12595388631249 41.78372494651727,-88.12581461160688 41.7836175933245,-88.12578276922967 41.783593047747246)"
15,59042,000000,Vitrified Clay,,1112 Elizabeth Av ,6",,Sewage,True,True,Private,Private,20100421101513,Esri,63.75119299399913,"LINESTRING (-88.12783481456457 41.770337040929896,-88.12802809540919 41.77043538934544)"
16,59043,000000,Vitrified Clay,,1136 George Ln ,6",,Sewage,True,True,Private,Private,20100421101513,Esri,52.7071370488754,"LINESTRING (-88.12633385308376 41.77147329302342,-88.12634321007563 41.771617767928866)"
17,59044,000000,Vitrified Clay,,1228 Jane Av ,6",,Sewage,True,True,Private,Private,20100421101513,Esri,54.88185505601559,"LINESTRING (-88.12209600127584 41.772872801037344,-88.12208766198252 41.77302328425448)"
18,59050,000000,Vitrified Clay,,1152 Catherine Av ,6",,Sewage,True,True,Private,Private,20100421101513,Esri,51.67257316427614,"LINESTRING (-88.12532054645256 41.77351369672294,-88.12537042456472 41.77365049828114)"
19,59054,000000,Vitrified Clay,,1257 Jane Av ,6",,Sewage,True,True,Private,Private,20100421101513,Esri,97.73636473753606,"LINESTRING (-88.12031832544585 41.77334791918555,-88.12036516613469 41.773082002486085)"
20,59056,000000,Vitrified Clay,,1108 Greensfield Dr ,6",,Sewage,True,True,Private,Private,20100421101513,Esri,110.82907706130959,"LINESTRING (-88.12888095037191 41.78312012703718,-88.12904481608606 41.78323582519692,-88.12917759830464 41.783327990037826)"
21,59059,000000,Vitrified Clay,,415 E Franklin Av ,6",,Sewage,True,True,Private,Private,20100421101513,Esri,185.00308861769088,"LINESTRING (-88.14165849151449 41.77602895630576,-88.14166332369898 41.77593304502258,-88.14221246376702 41.77595646262548)"
22,59061,000000,Vitrified Clay,,1027 Jupiter Ct ,6",,Sewage,True,True,Private,Private,20100421101513,Esri,132.43731700760787,"LINESTRING (-88.13051419302593 41.77504596516119,-88.13045862125253 41.77490448292203,-88.13037724185521 41.77469727442622)"
23,59063,000000,Vitrified Clay,,209 E Jefferson Av ,6",,Sewage,True,True,Private,Private,20100421101513,Esri,89.59336808355009,"LINESTRING (-88.14484834997819 41.77302683186502,-88.14507616748455 41.77303416249916,-88.14517652342687 41.77303686502189)"
24,59068,000000,Vitrified Clay,,1009 Elizabeth Av ,6",,Sewage,True,True,Private,Private,20100421101513,Esri,123.05018691928963,"LINESTRING (-88.1318933572782 41.77107040746883,-88.13193729260125 41.770734325331695)"
25,59070,000000,Vitrified Clay,,346 S Wright St ,6",,Sewage,True,True,Private,Private,20100421101513,Esri,110.59858581473921,"LINESTRING (-88.13863548187545 41.77036047578525,-88.1382638077749 41.77042159774414,-88.13823948657499 41.77042559638364)"
26,59071,000000,Vitrified Clay,,1017 E Benton Av ,6",,Sewage,True,True,Private,Private,20100421101513,Esri,117.35327975278038,"LINESTRING (-88.13070878319651 41.77645682271237,-88.13065033745143 41.776310760784064,-88.13058533412551 41.77614831143739)"
27,59072,000000,Vitrified Clay,,1013 Elizabeth Av ,6",,Sewage,True,True,Private,Private,20100421101513,Esri,119.29097317616275,"LINESTRING (-88.13144306771802 41.77102262347594,-88.13150777845757 41.77069885627628)"
28,59074,000000,Vitrified Clay,,926 Monticello Dr ,6",,Sewage,True,True,Private,Private,20100421101513,Esri,111.07194232379723,"LINESTRING (-88.13366241723986 41.7832685024802,-88.13344759961541 41.78325314509802,-88.13325700883357 41.783239519488404)"
29,59075,000000,Vitrified Clay,,845 Lyndhurst Ct ,6",,Sewage,True,True,Private,Private,20100421101513,Esri,123.56988465574261,"LINESTRING (-88.13226774647876 41.78443166034853,-88.13212033541583 41.784353378669216,-88.13185048682105 41.78432587505944)"
30,59082,000000,Vitrified Clay,,221 North Av Dn,6",,Sewage,True,True,Private,Private,20100421101513,Esri,103.23813845073946,"LINESTRING (-88.14411368000582 41.77874690174125,-88.14412660121843 41.77858441285208,-88.1441361675759 41.778464085147164)"
31,59084,000000,Vitrified Clay,,240 4th Av ,6",,Sewage,True,True,Private,Private,20100421101513,Esri,112.76176263890605,"LINESTRING (-88.14337165247653 41.77945589454018,-88.14342479034175 41.779160005102284,-88.14343390070421 41.7791514991239)"
32,59085,000000,Vitrified Clay,,849 Bellingrath Ct ,6",,Sewage,True,True,Private,Private,20100421101513,Esri,101.25894217454743,"LINESTRING (-88.13624912554933 41.781941088707626,-88.13606889049646 41.781861098180535,-88.13592977819168 41.781799359960786)"
33,59088,000000,Vitrified Clay,,800 Monticello Dr ,6",,Sewage,True,True,Private,Private,20100421101513,Esri,108.18020496186068,"LINESTRING (-88.13601618841193 41.78368242047584,-88.13603058259652 41.7838347847191,-88.13601508880097 41.78394298527234,-88.13602487962773 41.783977530985666)"
34,59091,000000,Vitrified Clay,,330 S Wright St ,6",,Sewage,True,True,Private,Private,20100421101513,Esri,98.14661244961172,"LINESTRING (-88.13873516052479 41.770803091884375,-88.13840060106551 41.770866546955595,-88.13838638765264 41.77086924194008)"
35,59092,000000,Vitrified Clay,,1064 Mattande Ln ,6",,Sewage,True,True,Private,Private,20100421101513,Esri,98.36667126112431,"LINESTRING (-88.13038635276804 41.77908113415623,-88.13039533783684 41.77923042392984,-88.13040355533168 41.77935077377327)"
36,59093,000000,Vitrified Clay,,1072 Mattande Ln ,6",,Sewage,True,True,Private,Private,20100421101513,Esri,97.09703166537352,"LINESTRING (-88.13019292128149 41.77908787005746,-88.13019933064648 41.77923522581364,-88.13020582974106 41.77935415636147)"
37,59094,000000,Vitrified Clay,,1028 Mattande Ln ,6",,Sewage,True,True,Private,Private,20100421101513,Esri,94.31436926308255,"LINESTRING (-88.13296487235465 41.77929895341544,-88.13280682208251 41.779272373554775,-88.13262304006918 41.779270504910315)"
38,59096,000000,Vitrified Clay,,406 4th Av ,6",,Sewage,True,True,Private,Private,20100421101513,Esri,99.35784750032124,"LINESTRING (-88.14187637789551 41.77924826651229,-88.14205503924357 41.779262771835846,-88.14223878101114 41.77927585465485)"
39,59099,000000,Vitrified Clay,,519 Highland Av ,6",,Sewage,True,True,Private,Private,20100421101513,Esri,91.71904410563089,"LINESTRING (-88.14000451575595 41.771793987119736,-88.13994852148473 41.771606154312984,-88.13993128210164 41.77154832460332)"
40,59103,000000,Vitrified Clay,,523 E Chicago Av ,6",,Sewage,True,True,Private,Private,20100421101513,Esri,141.65426905439492,"LINESTRING (-88.14017931776934 41.772797246389864,-88.14016635573685 41.772638095131256,-88.1401580582249 41.77255303187695,-88.13999711007996 41.77257798755511,-88.13999122525564 41.77255749076489)"
41,59109,000000,Vitrified Clay,,520 N Sleight St ,6",,Sewage,True,True,Private,Private,20100421101513,Esri,93.62567536466847,"LINESTRING (-88.14002186760654 41.78139599411783,-88.14024580222039 41.78141498209497,-88.14036296121623 41.781424919065195)"
42,59110,000000,Vitrified Clay,,610 N Columbia St ,6",,Sewage,True,True,Private,Private,20100421101513,Esri,100.37932028398582,"LINESTRING (-88.13692772708252 41.781903951185015,-88.13707251662208 41.78191142492981,-88.1372913647935 41.78194311949534)"
43,59115,000000,Vitrified Clay,,808 Lyndhurst Ct ,6",,Sewage,True,True,Private,Private,20100421101513,Esri,97.3821107754601,"LINESTRING (-88.13240264113037 41.78255676730523,-88.13247871493238 41.78277867583806,-88.132491380819 41.78281562815189)"
44,59117,000000,Vitrified Clay,,711 N Brainard St ,6",,Sewage,True,True,Private,Private,20100421101513,Esri,95.61800424858947,"LINESTRING (-88.14341232989366 41.78338175716313,-88.14322089266588 41.78337569082078,-88.14306205229455 41.78337065864462)"
45,59118,000000,Vitrified Clay,,710 N Loomis St ,6",,Sewage,True,True,Private,Private,20100421101513,Esri,91.22057055259981,"LINESTRING (-88.14127631345372 41.783231360698394,-88.14148441208482 41.78324791041371,-88.14160890786232 41.783257814245346)"
46,59120,000000,Vitrified Clay,,725 N Sleight St ,6",,Sewage,True,True,Private,Private,20100421101513,Esri,90.91611382968074,"LINESTRING (-88.1403912172967 41.78355216152928,-88.14019537754425 41.78353631021735,-88.14005979706077 41.78352533818511)"
47,59121,000000,Vitrified Clay,,725 N Ellsworth St Dn,6",,Sewage,True,True,Private,Private,20100421101513,Esri,99.71380006523503,"LINESTRING (-88.14481926181658 41.78374264013728,-88.14461663842272 41.78373489479549,-88.14445412669241 41.78372868354007)"
48,59129,000000,Vitrified Clay,,815 Center St ,6",,Sewage,True,True,Private,Private,20100421101513,Esri,93.64614319011935,"LINESTRING (-88.14614344805003 41.78469045327015,-88.14594177033526 41.784683231315356,-88.14580047194414 41.784678173012935)"
49,59130,000000,Vitrified Clay,,1092 Catherine Av ,6",,Sewage,True,True,Private,Private,20100421101513,Esri,115.53295017361009,"LINESTRING (-88.12916995225976 41.7724427587271,-88.1294996114914 41.77258391071442,-88.12952753275806 41.77260913893053)"
50,59131,000000,Vitrified Clay,,,6",,Sewage,True,True,Private,Private,20100421101513,Esri,83.9632569901978,"LINESTRING (-88.13900919536661 41.77793897939639,-88.13919673079516 41.77794465900602,-88.13931677590519 41.77794829487785)"
51,59132,000000,Vitrified Clay,,,6",,Sewage,True,True,Private,Private,20100421101513,Esri,87.67947766999379,"LINESTRING (-88.14537790421136 41.775313497587284,-88.1452411870621 41.775309802039935,-88.14505666974749 41.77530481521719)"
52,59135,000000,Vitrified Clay,,1050 Catherine Av ,6",,Sewage,True,True,Private,Private,20100421101513,Esri,82.26178158326255,"LINESTRING (-88.13076313562918 41.77275939890701,-88.13056181783585 41.77276870378474,-88.13046205574038 41.77277215613894)"
53,59139,000000,Vitrified Clay,,517 N Loomis St ,6",,Sewage,True,True,Private,Private,20100421101513,Esri,86.63568372771445,"LINESTRING (-88.14215061633388 41.78135916508011,-88.14195516460465 41.781341943456596,-88.14183514810031 41.7813313667904)"
54,59140,000000,Vitrified Clay,,211 N Wright St Up,6",,Sewage,True,True,Private,Private,20100421101513,Esri,80.0305798235953,"LINESTRING (-88.13962542417156 41.7776683741006,-88.13944625841243 41.7776632477331,-88.13933220128888 41.77766050266345)"
55,59141,000000,Vitrified Clay,,205 N Sleight St ,6",,Sewage,True,True,Private,Private,20100421101513,Esri,89.31709673159345,"LINESTRING (-88.14103503640355 41.77758283423292,-88.14085540944203 41.7775775193143,-88.14070783292992 41.77757315281692)"
56,59145,000000,Vitrified Clay,,347 S Julian St ,6",,Sewage,True,True,Private,Private,20100421101513,Esri,74.69548283904946,"LINESTRING (-88.13648233280163 41.770687101982176,-88.13629809766573 41.77071826111631,-88.136216029751 41.77073467084395)"
57,59149,000000,Vitrified Clay,,15 S Brainard St ,6",,Sewage,True,True,Private,Private,20100421101513,Esri,82.13579232213522,"LINESTRING (-88.14397981938205 41.77450889033571,-88.14382812148449 41.77450461109076,-88.14367891676605 41.77450040238806)"
58,59156,000000,Vitrified Clay,,606 N Wright St ,6",,Sewage,True,True,Private,Private,20100421101513,Esri,79.04778453369026,"LINESTRING (-88.13847498365807 41.78189380882935,-88.13862717082095 41.78193206395845,-88.13875059720898 41.781960872191625)"
59,59157,000000,Vitrified Clay,,610 N Sleight St ,6",,Sewage,True,True,Private,Private,20100421101513,Esri,84.0716280367653,"LINESTRING (-88.13994898393643 41.78211281142375,-88.14014705463981 41.78212815910459,-88.14025559452234 41.78213657178179)"
60,59159,000000,Vitrified Clay,,625 N Sleight St ,6",,Sewage,True,True,Private,Private,20100421101513,Esri,87.14034062825283,"LINESTRING (-88.14052720648614 41.78249514628408,-88.14034884962801 41.78248132607723,-88.14020940221515 41.78247052059448)"
61,59160,000000,Vitrified Clay,,941 Monticello Dr ,6",,Sewage,True,True,Private,Private,20100421101513,Esri,101.63895045553565,"LINESTRING (-88.13304109223381 41.7821668591563,-88.13330578279044 41.78218422731789,-88.13338484510426 41.78217685411897,-88.13340120872486 41.7821605158044)"
62,59161,000000,Vitrified Clay,,619 N Ellsworth St ,6",,Sewage,True,True,Private,Private,20100421101513,Esri,91.38238941691226,"LINESTRING (-88.14487430983115 41.782471307737055,-88.1445398511943 41.78245633479958)"
63,59164,000000,Vitrified Clay,,813 N Sleight St ,6",,Sewage,True,True,Private,Private,20100421101513,Esri,69.62104663149785,"LINESTRING (-88.14017862021547 41.78450756780563,-88.14004993217598 41.784492899658474,-88.13992588487862 41.78448075569252)"
64,59165,000000,Vitrified Clay,,828 N Sleight St Hm,6",,Sewage,True,True,Private,Private,20100421101513,Esri,73.37277935863627,"LINESTRING (-88.13959486238058 41.78492329144865,-88.13973645073627 41.7849283488682,-88.1398636721498 41.7849313434999)"
65,59167,000000,Vitrified Clay,,125 Center St Hm,6",,Sewage,True,True,Private,Private,20100421101513,Esri,79.93476460308725,"LINESTRING (-88.14656109353284 41.77673373497301,-88.14641365816225 41.77672975778848,-88.14626822656354 41.77672583229699)"
66,59168,000000,Vitrified Clay,,105 E Benton Av ,6",,Sewage,True,True,Private,Private,20100421101513,Esri,75.40826422562495,"LINESTRING (-88.14607112908503 41.775256830725404,-88.14625694133436 41.77526278952,-88.14634733145188 41.775265689979626)"
67,59169,000000,Vitrified Clay,,849 N Ellsworth St ,6",,Sewage,True,True,Private,Private,20100421101513,Esri,72.74938886286915,"LINESTRING (-88.14471724820905 41.785394550284984,-88.14450993160047 41.78539090270148,-88.1444505748243 41.78538976791164)"
