OBJECTID,FACILITYID,INSTALLDATE,HIGHELEV,INVERT,INVERTELEV,RIMELEV,CVTYPE,WALLMAT,MHTYPE,CONDITION,CUTDEPTH,FLOWDIR,LINED,GPSDATE,WATERTYPE,LOCDESC,ENABLED,ACTIVEFLAG,OWNEDBY,MAINTBY,SUMFLOW,LASTUPDATE,LASTEDITOR,geometry,ResourceID
1,MH-2,000000,,6,,,,Concrete (Non-Reinforced),Standard,,,,,,Sewage,Elevation:678.8015,True,True,Our Agency,Our Agency,,20150518120909,Esri,POINT (-88.15858111681283 41.76952086992134),e4984ac5-c689-432a-a628-4586e8461991
2,MH-3,000000,,17,,,,Concrete (Non-Reinforced),Standard,,,,,,Sewage,Elevation:696.0278,True,True,Our Agency,Our Agency,,20150518120910,Esri,POINT (-88.1730004676605 41.76945683675632),b49149dd-9243-4b09-b8c9-18a571499ecd
3,MH-4,000000,,10,673.825,683.825,,Concrete (Non-Reinforced),Standard,,,,,,Sewage,Elevation:685.1176,True,True,Our Agency,Our Agency,,20150518120910,Esri,POINT (-88.17670527182122 41.76930150023946),b0204fc0-6a63-4199-bea6-f8a74588d83b
4,MH-5,000000,,8,677.767,685.767,,Concrete (Non-Reinforced),Standard,,,,,,Sewage,Elevation:685.5931,True,True,Our Agency,Our Agency,,20150518120910,Esri,POINT (-88.1619921849652 41.769215956985974),6e2b00e2-a28b-4d6a-8e93-728f33afefac
5,MH-6,000000,,14,676.995,690.995,,Concrete (Non-Reinforced),Drop,,,,,,Sewage,Elevation:691.0575,True,True,Our Agency,Our Agency,,20150518120910,Esri,POINT (-88.16318779641331 41.769207300363796),64168056-6afe-40a4-b7d2-78d96440137b
6,MH-7,000000,,8,686.01,694.01,,Concrete (Non-Reinforced),Standard,,,,,,Sewage,Elevation:694.2091,True,True,Our Agency,Our Agency,,20150518120910,Esri,POINT (-88.16278940794868 41.7690932124029),33d6c1ea-8771-4fda-8556-931cdb00876a
7,MH-8,000000,,16,,,,Concrete (Non-Reinforced),Standard,,,,,,Sewage,Elevation:698.3953,True,True,Our Agency,Our Agency,,20150518120910,Esri,POINT (-88.1735384639178 41.76897836253676),29a52f1b-7ac6-4d89-a32c-cb0771c17f89
8,MH-9,000000,,8,,,,Concrete (Non-Reinforced),Standard,,,,,,Sewage,Elevation:681.7424,True,True,Our Agency,Our Agency,,20150518120910,Esri,POINT (-88.15145081050963 41.76874790665154),41e666f6-1e4f-43b7-abdb-5995673e85ad
9,MH-10,000000,,11,682.7470000000001,693.7470000000001,,Concrete (Non-Reinforced),Standard,,,,,,Sewage,Elevation:692.9109,True,True,Our Agency,Our Agency,,20150518120910,Esri,POINT (-88.17073250703855 41.76841306975085),e45af4de-d5fb-4315-af9e-96552bc5d4f5
10,MH-11,000000,,12,678.814,690.814,,Concrete (Non-Reinforced),Standard,,,,,,Sewage,Elevation:690.0005,True,True,Our Agency,Our Agency,,20150518120910,Esri,POINT (-88.17864532925935 41.76837364282499),89f5e0df-3d95-499f-9bfb-1c154850d825
11,MH-12,000000,,9,,,,Concrete (Non-Reinforced),Standard,,,,,,Sewage,Elevation:705.9524,True,True,Our Agency,Our Agency,,20150518120910,Esri,POINT (-88.16259642169098 41.76827104383925),6610ab8c-ae5e-4a98-b7b4-c15b71d1db43
12,MH-13,000000,,14,,,,Concrete (Non-Reinforced),Standard,,,,,,Sewage,Elevation:694.8655,True,True,Our Agency,Our Agency,,20150518120910,Esri,POINT (-88.17972649287806 41.76821771225518),3c79117a-7a8f-4950-b154-f25e95f70c7a
13,MH-14,000000,,8,691.093,699.093,,Concrete (Non-Reinforced),Standard,,,,,,Sewage,Elevation:699.3343,True,True,Our Agency,Our Agency,,20150518120910,Esri,POINT (-88.17460731295886 41.76790273202088),d1e4053f-b575-44a4-b206-9d1693c6d6eb
14,MH-15,000000,,,,,,Concrete (Non-Reinforced),Standard,,,,,,Sewage,Elevation:685.4845,True,True,Our Agency,Our Agency,,20150518120910,Esri,POINT (-88.15201503940287 41.7679580916765),ff595991-3daf-4f8c-911c-0fe1fbccf0af
15,MH-16,000000,,8,,,,Concrete (Non-Reinforced),Standard,,,,,,Sewage,Elevation:694.1824,True,True,Our Agency,Our Agency,,20150518120910,Esri,POINT (-88.17306290485247 41.7672926884804),e1a30614-7519-4b6b-8715-bea0c014ff78
16,MH-17,000000,,10,683.475,693.475,,Concrete (Non-Reinforced),Drop,,,,,,Sewage,Elevation:693.4682,True,True,Our Agency,Our Agency,,20150518120910,Esri,POINT (-88.17689960392946 41.76698763579211),462678e6-50df-4f66-8d43-09c98487e50c
17,MH-18,000000,,5,689.726,694.726,,Concrete (Non-Reinforced),Standard,,,,,,Sewage,Elevation:694.2894,True,True,Our Agency,Our Agency,,20150518120910,Esri,POINT (-88.1745345162547 41.766986748427755),f52239ff-5482-4dee-823c-e0a39676bd28
18,MH-19,000000,,8,679.931,687.931,,Concrete (Non-Reinforced),Standard,,,,,,Sewage,Elevation:688.1277,True,True,Our Agency,Our Agency,,20150518120910,Esri,POINT (-88.17757405300965 41.766781122345094),a45cd2fe-d46e-4bbe-8a08-05a6031b962a
