OBJECTID,FACILITYID,FACILITYNAME,LARGEMETER,INSTALLDATE,LOCDESC,ROTATION,ACCOUNTID,LOCATIONID,CRITICAL,ENABLED,ACTIVEFLAG,OWNEDBY,MAINTBY,SUMFLOW,LASTUPDATE,LASTEDITOR,geometry,ResourceID
1,104155,,,,613 Pawnee Ln ,,,19148,,True,True,Private,Private,,20100421102743,Esri,POINT (-88.13818071245957 41.79429321846642),568ab8ca-b67c-4649-b4ff-835af32c0002
2,104156,,,,619 Pawnee Ln ,,,19144,,True,True,Private,Private,,20100421102743,Esri,POINT (-88.13766186876535 41.79429525039091),80779c21-e7b1-42bf-82fb-d777c3061903
3,104157,,,,811 Lockwood Cr ,,,84762,,True,True,Private,Private,,20100421102743,Esri,POINT (-88.1330882270559 41.79414643587084),7bda70af-a901-4593-b61c-4c65d1148462
4,104158,,,,807 Lockwood Cr ,,,19860,,True,True,Private,Private,,20100421102743,Esri,POINT (-88.13281039249866 41.79417956892589),274bf5cb-d041-4aae-9e48-fe4d2664d88d
5,104159,,,,1511 Vest Dr ,,,84764,,True,True,Private,Private,,20100421102743,Esri,POINT (-88.13242647249312 41.794182973196726),94c0b2f0-6a85-4f6d-81e4-5a4ae4430034
6,104160,,,,804 Pawnee Ln ,,,19442,,True,True,Private,Private,,20100421102743,Esri,POINT (-88.13559941126316 41.79385341527511),f18af98c-1486-45cf-9500-bf142184e0a6
7,104161,,,,407 E Bauer Rd ,,,90980,,True,True,Private,Private,,20100421102743,Esri,POINT (-88.14175384629712 41.793723317744416),099cf0d8-a5a3-4cff-a3a3-29a5b342fb06
8,104162,,,,733 E Bauer Rd ,,,19418,,True,True,Private,Private,,20100421102743,Esri,POINT (-88.13471059068367 41.79330222159611),f80ba9f7-ec15-4280-a0eb-21c328b11e1d
9,104163,,,,507 E Bauer Rd ,,,19366,,True,True,Private,Private,,20100421102743,Esri,POINT (-88.14054376799375 41.79353498804522),57c3b6d2-5f07-4bfe-9ffe-ad67c82a6df2
10,104164,,,,621 E Bauer Rd ,,,19344,,True,True,Private,Private,,20100421102743,Esri,POINT (-88.13745459431088 41.79332560287956),7de1cf2e-9610-4fc9-9e6a-b81bff634db5
11,104165,,,,1505 N Columbia St ,,,19342,,True,True,Private,Private,,20100421102743,Esri,POINT (-88.13725325878677 41.79338032369226),f8c9a96e-a591-4dd8-a688-7f8baf564544
12,104166,,,,1421 N Loomis St ,,,21492,,True,True,Private,Private,,20100421102743,Esri,POINT (-88.14276663538976 41.793309220945524),517b6739-e919-4886-8822-b129e53327b3
13,104167,,,,113 Greenbriar Ct ,,,21626,,True,True,Private,Private,,20100421102743,Esri,POINT (-88.14545790583004 41.7930588920478),423b6f40-ace9-4075-89c8-4cdfafdc9db9
14,104168,,,,412 E Bauer Rd ,,,19396,,True,True,Private,Private,,20100421102743,Esri,POINT (-88.1414842192814 41.793175234056456),eb970ad1-4705-43ca-8f67-7ed224f5f79e
15,104169,,,,108 Greenbriar Ct ,,,21640,,True,True,Private,Private,,20100421102743,Esri,POINT (-88.14585827245743 41.79261493520045),6ea6e34c-da8f-4bd4-969a-b73c86d3c815
