WKT,objectid,facilityid,installdate,locdesc,rotation,diameter,valvetype,enabled,activeflag,ownedby,maintby,lastupdate,lasteditor,globalid,comments,doc_name,status,ResourceID
POINT (-122.385754099402 37.7703104034502),1,,,,,0,,1,,1,,2011-03-08T00:00:00.000,JS,{281AA46A-0B69-4B02-A148-CBBE2B6A052F}, LOCATION APPROX.PER PORT PLUMBER DAVE RAUENBUHLER,,INACT,281AA46A-0B69-4B02-A148-CBBE2B6A052F
POINT (-122.369034222507 37.7412507897376),2,,,,,0,VALVE,1,,1,,,,{FBD1A604-514F-44A4-A859-A7415F93B69D}, ZZ - Water - Valve-Equipment from SP_UTIL_LINE owner = port,,UNK,FBD1A604-514F-44A4-A859-A7415F93B69D
POINT (-122.373040514459 37.7396884581823),3,,,,,0,VALVE,1,,1,,,,{D18127C5-0B2A-41A1-951F-7B7172B807F3}, ZZ - Water - Valve-Equipment from SP_UTIL_LINE owner = port,,UNK,D18127C5-0B2A-41A1-951F-7B7172B807F3
POINT (-122.372376958349 37.7398400000593),4,,,,,0,VALVE,1,,1,,,,{355857BF-DDD6-4BF3-B104-C3ABC6D8B1A8}, ZZ - Water - Valve-Equipment from SP_UTIL_LINE owner = port,,UNK,355857BF-DDD6-4BF3-B104-C3ABC6D8B1A8
POINT (-122.397692961194 37.8034774572148),5,,,,,0,VALVE,1,,1,,,,{98C2DA47-B49F-4230-A990-15669C6C685E}, ,,ACT,98C2DA47-B49F-4230-A990-15669C6C685E
POINT (-122.399869719357 37.801917484285),6,,,,,0,VALVE,1,,1,,,,{61FB4744-C7CB-444F-B7CF-72C3541B99AC}, ,,ACT,61FB4744-C7CB-444F-B7CF-72C3541B99AC
POINT (-122.371646360282 37.7436501955155),7,,,,,0,VALVE,1,,1,,,,{E9AF68FF-8FD3-4900-968D-2A77E5F0EC97}, ZZ - Water - Valve-Equipment from SP_UTIL_LINE owner = port,,UNK,E9AF68FF-8FD3-4900-968D-2A77E5F0EC97
POINT (-122.371550409094 37.7436910673657),8,,,,,0,VALVE,1,,1,,,,{04482AF6-AB33-4630-8D15-41EC7EE845E7}, ZZ - Water - Valve-Equipment from SP_UTIL_LINE owner = port,,UNK,04482AF6-AB33-4630-8D15-41EC7EE845E7
POINT (-122.370921971312 37.7435125763121),9,,,,,0,VALVE,1,,1,,,,{ACEDB72C-91A3-4BD7-8D8D-98687518A660}, ZZ - Water - Valve-Equipment from SP_UTIL_LINE owner = port,,UNK,ACEDB72C-91A3-4BD7-8D8D-98687518A660
POINT (-122.370955762023 37.7431677359673),10,,,,,0,VALVE,1,,1,,,,{9B6B3AEC-BB9E-44D9-A336-C775928F8A28}, ZZ - Water - Valve-Equipment from SP_UTIL_LINE owner = port,,UNK,9B6B3AEC-BB9E-44D9-A336-C775928F8A28
POINT (-122.370296247459 37.7425607100546),11,,,,,0,VALVE,1,,1,,,,{E518D24A-1897-42E1-B194-538114BE5FEE}, ZZ - Water - Valve-Equipment from SP_UTIL_LINE owner = port,,UNK,E518D24A-1897-42E1-B194-538114BE5FEE
POINT (-122.368296231257 37.7401568540577),12,,,,,0,VALVE,1,,1,,,,{1D038466-9C89-4ECC-BF3F-F8CB560EE7E2}, ZZ - Water - Valve-Equipment from SP_UTIL_LINE owner = port,,UNK,1D038466-9C89-4ECC-BF3F-F8CB560EE7E2
POINT (-122.36910179997 37.7408926392995),13,,,,,0,VALVE,1,,1,,,,{7518A0B9-C609-42F3-AC41-56A9151CA952}, ZZ - Water - Valve-Equipment from SP_UTIL_LINE owner = port,,UNK,7518A0B9-C609-42F3-AC41-56A9151CA952
POINT (-122.371370789995 37.7404570809276),14,,,,,0,VALVE,1,,1,,2011-02-28T00:00:00.000,JS,{7801AF5E-BC4E-405A-86C1-123782A74299}, ZZ - Water - Valve-Equipment from SP_UTIL_LINE owner = port,,UNK,7801AF5E-BC4E-405A-86C1-123782A74299
POINT (-122.373729504981 37.7415880454114),15,,,,,0,VALVE,1,,1,,,,{0E35B9C9-ADB3-48E0-B1E1-413127DE96DE}, ZZ - Water - Valve-Equipment from SP_UTIL_LINE owner = port,,UNK,0E35B9C9-ADB3-48E0-B1E1-413127DE96DE
POINT (-122.372423579655 37.7400452234654),16,,,,,0,BFP,1,,1,,2011-02-28T00:00:00.000,JS,{E87BF833-3CEC-4DEB-9DA7-A6521FE7F0AD}, LOCATION PER PORT PLUMBER DAVE RAUENBUHLER,,ACT,E87BF833-3CEC-4DEB-9DA7-A6521FE7F0AD
