OBJECTID,FACILITYID,INSTALLDATE,FITTINGTYPE,LOCDESC,ROTATION,ENABLED,ACTIVEFLAG,OWNEDBY,MAINTBY,LASTUPDATE,LASTEDITOR,GlobalID,geometry,ResourceID
2,WFIT-2,000000,Tee,,,True,True,Our Agency,Our Agency,20100420110239,Esri,{992A8E13-926C-4EC6-9886-F12ECC3E3099},POINT (-88.12981506562213 41.767341474259375),971c5d65-f101-4bcb-9dd2-595014c17f2a
3,WFIT-3,000000,Reducing Tee,,,True,True,Our Agency,Our Agency,20100420110239,Esri,{B50E4004-BC49-4467-BC50-49C9DB8AB43C},POINT (-88.18043538730822 41.78185844737204),db7ca6a3-08c9-4ae5-99a9-79795c5c6ad8
9,WFIT-9,000000,Reducing Tee,,,True,True,Our Agency,Our Agency,20100420110239,Esri,{CC820177-3C20-4AA3-8ACD-280A0A4A0443},POINT (-88.14706771198752 41.78430933840623),fc05a2da-7302-485b-ab21-31d1e2a4eed1
12,WFIT-12,000000,Cross,,,True,True,Our Agency,Our Agency,20100420110239,Esri,{BEFF83F1-4252-4999-AFE4-2D907F652697},POINT (-88.17474081447111 41.7665616224682),e6a4244c-75c9-4b8a-8e7e-14ac124f38d9
13,WFIT-13,000000,Reducing Tee,,,True,True,Our Agency,Our Agency,20100420110239,Esri,{7A114209-67AA-4357-BA97-F03405A8B252},POINT (-88.12872624083018 41.76758758913957),d81d686b-6b6b-4d2f-9c68-36189f1791d5
14,WFIT-14,000000,Reducing Tee,,,True,True,Our Agency,Our Agency,20100420110239,Esri,{569F77CD-CB47-4DB9-B9CC-5A808717A7F5},POINT (-88.12654138334221 41.77501758685817),ad000ada-1a12-4e9b-9589-b120ac5dddcb
379,WFIT-379,000000,Transition,,,True,True,Our Agency,Our Agency,20100420110239,Esri,{C169CE3D-048A-4AE9-9181-6945A71302D4},POINT (-88.1421179248697 41.78014159669165),dc9beeea-4fdb-41c2-8440-4255ec5abc9e
382,WFIT-382,000000,Tap,,,True,True,Our Agency,Our Agency,20100420110239,Esri,{E1458843-B002-48C8-8C6D-98A4599E19F8},POINT (-88.1198171890966 41.77512508505019),2dc2cfe7-2933-4f1a-8594-75b09f98baec
385,WFIT-385,000000,Tap,,,True,True,Our Agency,Our Agency,20100420110239,Esri,{2FEA0721-E9E4-4213-8C80-9FD699C66ECD},POINT (-88.12873706527587 41.77617088614005),69215f81-db0f-4177-89c9-0a99cb150208
395,WFIT-395,000000,Tap,,,True,True,Our Agency,Our Agency,20100420110239,Esri,{3EB7693C-270C-4C39-A6EB-F7E4D0CD9C4D},POINT (-88.12274329615255 41.772512610188784),084ca801-82e9-4a51-905f-98113957a312
396,WFIT-396,000000,Tap,,,True,True,Our Agency,Our Agency,20100420110239,Esri,{CAEF0F24-7191-4C97-A110-5425BA16A55C},POINT (-88.12132020569629 41.772716298749415),f1ad6700-9527-426d-896f-3f6294b0a4dd
397,WFIT-397,000000,Tap,,,True,True,Our Agency,Our Agency,20100420110239,Esri,{1486A11F-485C-4969-9F4A-F7BEE15EC023},POINT (-88.12430888191113 41.77333586828137),1fec891a-c8f7-4382-83a1-699808008423
404,WFIT-404,000000,Tap,,,True,True,Our Agency,Our Agency,20100420110239,Esri,{0A311DBE-C1BE-4722-9B96-80138FA54171},POINT (-88.12191250411101 41.77315611870026),32a45bf8-a283-4bf4-85d5-c3fbb0320799
405,WFIT-405,000000,Tap,,,True,True,Our Agency,Our Agency,20100420110239,Esri,{14CB05F3-8DB3-471D-A6FE-182EB50F9DF8},POINT (-88.12594861339787 41.782188090256426),2624fdec-3a27-4f3d-8bcc-495161591c0a
408,WFIT-408,000000,Tap,,,True,True,Our Agency,Our Agency,20100420110239,Esri,{94482334-E01C-4486-A6F3-920315F92EB2},POINT (-88.12866239386884 41.770425208865454),4fddbefe-b6aa-40f3-abdc-7e7d84c8efe3
