OBJECTID,FACILITYID,INSTALLDATE,LOCDESC,ROTATION,MANUFACTURER,OPERABLE,LASTSERVICE,ENABLED,ACTIVEFLAG,OWNEDBY,MAINTBY,LASTUPDATE,LASTEDITOR,FLOW,GlobalID,geometry,ResourceID
1,HYD-2,000000,PipeID:WM-1393,0,Waterous,True,20080805,True,True,Our Agency,Our Agency,20160204212349,Esri,250,{E5DC8121-DFFB-4B79-B172-F7397D37A9C7},POINT (-88.17867807902803 41.769261998738344),b5d7eda4-cedd-47ee-9bd6-3f8f6f85b409
2,HYD-3,19800101,,287.6554,Waterous,True,20070714,True,True,Our Agency,Our Agency,20150506135219,Esri,500,{6F8C9F6A-1AA4-45F0-B270-B02884B606CB},POINT (-88.16289370060068 41.769237788391685),0eec63ac-c506-4e3e-9ec1-306c1118a99c
3,HYD-4,000000,,86.0532,Waterous,True,20080809,True,True,Our Agency,Our Agency,20150506135219,Esri,250,{7484D54A-9F52-4B74-AC19-F8DE33EB697E},POINT (-88.17097272318122 41.76887956263552),c6287bf3-8e01-4701-a7c9-10cc8fcc1671
4,HYD-5,000000,PipeID:WM-3973,0,Waterous,True,20080906,True,True,Our Agency,Our Agency,20160204212350,Esri,500,{2E925116-9084-404E-9EBE-11F8C6C3087F},POINT (-88.17561481217376 41.76883932325933),8000148f-f6ec-47ec-9aff-92119d1bc24b
5,HYD-6,19860101,,129.0651,Waterous,True,20070714,True,True,Our Agency,Our Agency,20150506135219,Esri,1000,{B0E48C52-8307-4937-B471-9295A8596B3A},POINT (-88.1590045021462 41.768800633287746),a86cbe2a-931b-4cf4-aecc-894fa26b3288
7,HYD-7,000000,,63.7387,Waterous,True,20080809,True,True,Our Agency,Our Agency,20150506135219,Esri,500,{02C11BC9-F3C0-47FE-903F-E860EEB194AD},POINT (-88.17365633466142 41.768769409443316),34180a09-fe58-403f-9448-c2db3fb6e819
9,HYD-8,19670101,,21.5369,Waterous,True,20080809,True,True,Our Agency,Our Agency,20150506135219,Esri,0,{4D254C94-BB89-49F7-A2E2-1E188CB2EA32},POINT (-88.17235908689801 41.76867723409159),7bb5f3de-14f9-4637-8971-20353c5c7ee0
10,HYD-9,19860101,,255.6038,Waterous,True,20070714,True,True,Our Agency,Our Agency,20150506135219,Esri,1000,{3328F21C-C939-45C2-B845-F2244360AC4A},POINT (-88.15765489298123 41.76861125846273),8897f4b8-997d-4f3c-a9a6-19789656c190
12,HYD-10,000000,,167.1369,Waterous,True,20080805,True,True,Our Agency,Our Agency,20150506135219,Esri,0,{D80C6D70-D967-404A-9C59-59CCAFC10D08},POINT (-88.1788887357683 41.76851512231285),fd096335-1d4c-43a0-a14e-18ccbc05883d
13,HYD-11,000000,,336.5077,Waterous,True,20070716,True,True,Our Agency,Our Agency,20150506135219,Esri,1000,{9F885179-2459-4FAA-979E-77AFEC08574C},POINT (-88.15565774392881 41.768459782898674),ff06c5ba-c0c3-46ba-a642-496ed862230e
14,HYD-12,000000,,1.2537,Waterous,True,20070714,True,True,Our Agency,Our Agency,20150506135219,Esri,0,{E6BEB228-C446-4F9A-9906-425018D6079F},POINT (-88.16329465534425 41.768366799524195),11df0b44-712a-4fc4-ba65-6a1ede823834
17,HYD-14,000000,,270.1057,Waterous,True,20080906,True,True,Our Agency,Our Agency,20150506135219,Esri,0,{DE25ED44-7D99-4063-A47A-5DC688FC469E},POINT (-88.1681446056697 41.76827282156227),82a0e9cd-8e12-4896-b3c6-06398b207070
19,HYD-15,000000,,241.5471,Waterous,True,20080806,True,True,Our Agency,Our Agency,20150506135219,Esri,250,{D69194AA-63E6-48E9-A1DD-9EF5EBAF1E33},POINT (-88.17734469929381 41.76809226876343),36b11438-242a-4195-b241-438f063adcca
20,HYD-16,000000,,359.7918,Waterous,True,20070714,True,True,Our Agency,Our Agency,20150506135219,Esri,1000,{B2942051-BA2B-4D97-981F-8F830D055FCA},POINT (-88.15931166453404 41.767990583182325),e3ff4874-2a38-4a10-ba0a-de31103708a7
22,HYD-17,19700101,,97.8137,Waterous,True,20080804,True,True,Our Agency,Our Agency,20150506135219,Esri,0,{DB38AA37-DFCB-4457-AD5B-5B3A020F44C9},POINT (-88.18183435113586 41.76795513829682),3b663c1b-7b64-47bf-b5d4-55382091c531
23,HYD-18,000000,,82.4579,Waterous,True,20080809,True,True,Our Agency,Our Agency,20150506135219,Esri,500,{C24884E0-5FF0-4618-BB0E-6C5C961FD436},POINT (-88.17338271720858 41.76787097772281),21046870-2d44-43b2-b94a-45d160c0ebb3
24,HYD-19,19990101,,321.7337,Waterous,True,20070717,True,True,Our Agency,Our Agency,20150506135219,Esri,0,{AC9732D3-869A-4B35-BE1B-F84B09A9FA03},POINT (-88.15643727154 41.76778746140184),6c891a91-39fe-4cd3-b2a4-8886e2ab43af
25,HYD-20,000000,,331.8977,Waterous,True,20070714,True,True,Our Agency,Our Agency,20150506135219,Esri,1000,{3CA10EFD-872D-45A3-A762-C0F0AFE3B742},POINT (-88.16369676954861 41.76775551575023),58b6e2bb-cbd8-4edb-9614-f63dd0b477d2
