OBJECTID,FACILITYID,INSTALLDATE,MATERIAL,DIAMETER,WATERTYPE,TRANSMISS,ENABLED,ACTIVEFLAG,OWNEDBY,MAINTBY,LASTUPDATE,LASTEDITOR,Shape_Length,GlobalID,geometry,ResourceID
1,WM-1,19660101,Ductile Iron,8",Potable Water,No,True,True,Our Agency,Our Agency,20170111111247,Esri,86.28487915770624,{EDB1F205-F503-4555-9A43-5FAF0B7E76B8},"LINESTRING (-88.17464388022344 41.768909347448265,-88.17495998136376 41.76890095553062)",491744ec-f2e3-4191-88cf-0c729b55283c
2,WM-2,19680101,Ductile Iron,10",Potable Water,No,True,True,Our Agency,Our Agency,20150506135049,Esri,366.647581006713,{224F0F2C-A760-460B-86EC-DF9B5BFA07EC},"LINESTRING (-88.17737980604291 41.76799699296509,-88.17754059357328 41.767920342427296,-88.17758061490721 41.76790126302837,-88.17770733128538 41.76784974027296,-88.17778760482811 41.76782296047195,-88.17789106495003 41.767788448137814,-88.17794403462146 41.767773055117274,-88.17804273001585 41.76774437867165,-88.17807093883073 41.767736181154966,-88.17827352517989 41.76769314357587,-88.17830121844831 41.767687259245335,-88.1785116045474 41.76765287347542,-88.17862195050252 41.76763483834031)",d31dafda-533a-4e5f-9a81-37f573e499cb
3,WM-3,19800101,Ductile Iron,8",Potable Water,No,True,True,Our Agency,Our Agency,20150506135049,Esri,48.2797959718502,{915D98BA-3D73-4ADF-A4CB-63078E8C19B2},"LINESTRING (-88.16807209530202 41.783454344618356,-88.16798573932272 41.78348191552072,-88.16794362571945 41.78353556693639)",bd8c4c51-004e-42fc-ac1a-a2e9877ca1ff
4,WM-4,19680101,Ductile Iron,10",Potable Water,No,True,True,Our Agency,Our Agency,20150506135049,Esri,20.18191506959208,{FEF90D43-F612-416A-A907-521214B6BFD1},"LINESTRING (-88.17732054279584 41.76803014588486,-88.17736917937157 41.76800293625634,-88.17737980604291 41.76799699296509)",e5d3d90d-1ed7-4b2a-aa5a-58f74a644dac
5,WM-5,19660101,Cast Iron,8",Potable Water,No,True,True,Our Agency,Our Agency,20150506135049,Esri,7.131440496183703,{1DB9DCE7-0F7D-4A52-8391-22073CDE5585},"LINESTRING (-88.17311987880461 41.76684420687004,-88.17312505053108 41.766863390962)",f77c48d4-5cf0-47de-aa10-968337df9c85
6,WM-6,20000101,Ductile Iron,8",Potable Water,No,True,True,Our Agency,Our Agency,20150506135049,Esri,52.065118812424394,{81E54568-7CAC-4C17-962A-6453C69214E3},"LINESTRING (-88.12953549998178 41.773097325976885,-88.12953607817731 41.773106929385214,-88.12954408086738 41.77324006420593)",67294f5e-7cbf-401d-a598-a286ca1916fd
7,WM-7,19700101,Cast Iron,8",Potable Water,No,True,True,Our Agency,Our Agency,20150506135049,Esri,14.288747566810443,{F1024710-17B3-41B2-A9D8-B18402C2993E},"LINESTRING (-88.18169196174702 41.76842927900782,-88.18168367677985 41.768467998177144)",b8afbaea-14d1-4a72-b4ec-c0e1bb4319c1
8,WM-8,19860101,Ductile Iron,8",Potable Water,No,True,True,Our Agency,Our Agency,20150506135049,Esri,247.5346052087808,{E6F00F3A-3D88-41E5-B87D-CAD7DA188C26},"LINESTRING (-88.1633273616826 41.766623964301694,-88.16246646457815 41.766838583113184)",d9289e84-2c9e-4c3f-9f45-93782a64624f
9,WM-9,19940101,Ductile Iron,6",Potable Water,No,True,True,Our Agency,Our Agency,20150506135049,Esri,3.779778045551836,{8E42A6AA-9895-4471-9E16-AAD68910ACB4},"LINESTRING (-88.15156781764804 41.76801928331997,-88.15156847348094 41.76800892205679)",a3d943a8-803a-4b29-9496-5e6a9eeca617
10,WM-10,19790101,Ductile Iron,12",Potable Water,No,True,True,Our Agency,Our Agency,20150506135049,Esri,226.16920559922573,{EAA0E696-7229-40BD-9C01-6F8F7D162A7A},"LINESTRING (-88.17608287464326 41.78154030039979,-88.17627262133043 41.78148200664812,-88.17685444209424 41.78131292547688)",d6817381-1498-49e2-b441-0acc1373d799
11,WM-11,000000,Unknown,8",Potable Water,No,True,True,Our Agency,Our Agency,20150506135049,Esri,43.29247848058711,{11BB6B88-4B11-47A7-A933-7987AF9305C5},"LINESTRING (-88.17076683145024 41.78218426332492,-88.17064621806853 41.78210702693271)",b13e6fdf-a9cf-431a-9ec1-df5f13c7241a
12,WM-12,19940101,Ductile Iron,6",Potable Water,No,True,True,Our Agency,Our Agency,20150506135049,Esri,29.700305255052605,{23AE9C6A-C2B7-48C8-BB6E-33EB6FC4440E},"LINESTRING (-88.14899030550282 41.76606393869414,-88.1488830753881 41.766049847851114)",6b5c5c82-0d47-47ac-a005-571daf0ca675
13,WM-13,19670101,Ductile Iron,6",Potable Water,No,True,True,Our Agency,Our Agency,20150506135049,Esri,171.68177020877218,{A68C934E-BDC9-41A9-8C5D-D4BF91950639},"LINESTRING (-88.17086178991944 41.76794703190392,-88.17082503884228 41.7679494964487,-88.17056854142788 41.767966699489634,-88.17043636825872 41.76797749212213,-88.17032212748649 41.76798322748543,-88.17023501843833 41.76798907058153)",735bc35b-561a-4184-8886-eaaee76ff55f
